"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.04.2024","14.370,11","14.314,66","14.404,83","14.293,33","3,72M","0,10%"
"12.04.2024","14.355,14","14.567,89","14.638,48","14.338,51","9,90M","-0,98%"
"11.04.2024","14.497,16","14.516,34","14.575,80","14.436,13","8,55M","-0,17%"
"10.04.2024","14.521,30","14.496,19","14.633,85","14.433,40","9,18M","0,41%"
"09.04.2024","14.461,88","14.475,28","14.551,54","14.434,47","7,71M","-0,20%"
"08.04.2024","14.491,52","14.327,96","14.507,83","14.305,00","7,42M","1,39%"
"05.04.2024","14.293,11","14.331,73","14.332,00","14.216,86","6,87M","-0,88%"
"04.04.2024","14.419,76","14.284,30","14.423,79","14.284,30","7,32M","1,03%"
"03.04.2024","14.272,66","14.168,62","14.280,42","14.061,69","6,22M","0,70%"
"02.04.2024","14.173,98","14.307,03","14.416,09","14.154,95","8,88M","-0,84%"
"28.03.2024","14.294,62","14.431,94","14.441,67","14.243,99","8,58M","-0,80%"
"27.03.2024","14.410,13","14.243,23","14.411,22","14.243,23","8,70M","1,12%"
"26.03.2024","14.250,02","14.129,76","14.251,62","14.129,76","6,98M","1,12%"
"25.03.2024","14.092,59","13.986,85","14.104,69","13.986,63","7,10M","0,77%"
"22.03.2024","13.984,98","13.968,67","14.054,41","13.959,50","7,51M","-0,02%"
"21.03.2024","13.987,48","13.932,89","14.002,79","13.911,59","9,04M","0,93%"
"20.03.2024","13.858,59","13.824,06","13.892,53","13.770,43","8,12M","0,01%"
"19.03.2024","13.856,77","13.851,79","13.905,82","13.804,80","9,86M","-0,18%"
"18.03.2024","13.881,21","13.960,90","13.988,31","13.878,29","7,33M","-0,18%"
"15.03.2024","13.906,54","13.918,41","13.975,30","13.906,54","17,87M","-0,05%"
"14.03.2024","13.914,07","13.998,90","14.045,20","13.914,07","8,08M","-0,63%"
"13.03.2024","14.002,95","14.032,70","14.053,92","13.999,76","7,65M","0,02%"
"12.03.2024","13.999,95","13.856,66","14.017,98","13.856,43","6,88M","1,27%"
"11.03.2024","13.824,97","13.809,72","13.827,66","13.757,33","8,03M","-0,35%"
"08.03.2024","13.873,11","13.954,25","13.954,25","13.873,11","","-0,61%"
"07.03.2024","13.957,68","13.842,76","13.985,22","13.769,55","","0,66%"
"06.03.2024","13.866,81","13.711,61","13.880,44","13.711,61","","1,12%"
"05.03.2024","13.713,39","13.726,41","13.773,64","13.692,99","","-0,52%"
"04.03.2024","13.785,13","13.877,86","13.919,26","13.754,98","","-0,52%"
"01.03.2024","13.857,04","13.832,59","13.865,27","13.754,94","","0,61%"
"29.02.2024","13.772,39","13.768,45","13.841,21","13.759,83","","0,03%"
